"res13";"aikz";"ktxt";"dtxt";"ltxt"
AE;A;Anw.entw. ;Anwendungsentwicklung    ;Anwendungsentwicklung                             
C ;A;Controllin;Controlling              ;Controlling                                       
CR;A;BWM-CR    ;Controlling & Risikomanan;Controlling & Risikomanagement                    
DD;A;Doppeldipl;Doppeldiplom             ;Doppeldiplom                                      
DE;A;BWM-DE    ;Direktmarketing & E-Comme;Direktmarketing & E-Commerce                      
EK;A;ESP-K     ;Erg. Schwp. Konstr.      ;Ergänzungsschwerpunkt Konstruktion                
EP;A;ESP-P     ;Erg. Schwp. Prod.        ;Ergänzungsschwerpunkt Produktion                  
ES;A;ES        ;Embedded Systems         ;Embedded Systems                                  
KV;A;KV        ;Komm. u. Vert. Syst.     ;Kommunikation und Verteilte Systeme               
Ko;I;Konstrukti;Konstruktion             ;Konstruktion                                      
L1;A;BWM-LP    ;Lean Production          ;Lean Production                                   
LO;A;BWM-LO    ;Logistik                 ;Logistik                                          
LP;A;Lean Manuf;Lean Manufacturing       ;Lean Manufacturing                                
M ;A;Marketing ;Marketing                ;Marketing                                         
Pr;I;Produktion;Produktion               ;Produktion                                        
WI;A;Wirtsch.In;Wirtschatfsinformatik    ;Wirtschaftsinformatik                             
WN;A;BWM-WI    ;Wirtschaftsinformatik    ;Wirtschaftsinformatik                             
AT;A;Auto.techn;Automatisierungstechnik  ;Automatisierungstechnik                           
